VeiligheidsregioCode;VeiligheidsregioNaam;publicatiedatumRIVM;aantal_nieuw_besmette_verpleeghuis_locaties;aantal_nieuw_besmettingsvrije_verpleeghuis_locaties;aantal_besmette_verpleeghuis_locaties
VR17;Rotterdam-Rijnmond;2020-06-19;0;0;8
VR17;Rotterdam-Rijnmond;2020-06-20;0;1;7
VR17;Rotterdam-Rijnmond;2020-06-21;1;0;8
VR17;Rotterdam-Rijnmond;2020-06-22;0;0;8
VR17;Rotterdam-Rijnmond;2020-06-23;0;0;8
VR17;Rotterdam-Rijnmond;2020-06-24;1;1;8
VR17;Rotterdam-Rijnmond;2020-06-25;0;1;7
VR17;Rotterdam-Rijnmond;2020-06-26;1;0;8
VR17;Rotterdam-Rijnmond;2020-06-27;0;1;7
VR17;Rotterdam-Rijnmond;2020-06-28;0;0;7
VR17;Rotterdam-Rijnmond;2020-06-29;0;1;6
VR17;Rotterdam-Rijnmond;2020-06-30;0;0;6
VR17;Rotterdam-Rijnmond;2020-07-01;1;0;7
VR17;Rotterdam-Rijnmond;2020-07-02;0;0;7
VR17;Rotterdam-Rijnmond;2020-07-03;0;1;6
VR17;Rotterdam-Rijnmond;2020-07-04;0;0;6
VR17;Rotterdam-Rijnmond;2020-07-05;0;0;6
VR17;Rotterdam-Rijnmond;2020-07-06;0;0;6
VR17;Rotterdam-Rijnmond;2020-07-07;0;0;6
VR17;Rotterdam-Rijnmond;2020-07-08;0;0;6
VR17;Rotterdam-Rijnmond;2020-07-09;0;0;6
VR17;Rotterdam-Rijnmond;2020-07-10;0;1;5
VR17;Rotterdam-Rijnmond;2020-07-11;0;1;4
VR17;Rotterdam-Rijnmond;2020-07-12;0;0;4
VR17;Rotterdam-Rijnmond;2020-07-13;0;0;4
VR17;Rotterdam-Rijnmond;2020-07-14;0;0;4
VR17;Rotterdam-Rijnmond;2020-07-15;0;0;4
VR17;Rotterdam-Rijnmond;2020-07-16;0;2;2
VR17;Rotterdam-Rijnmond;2020-07-17;1;0;3
VR17;Rotterdam-Rijnmond;2020-07-18;0;0;3
VR17;Rotterdam-Rijnmond;2020-07-19;1;0;4
VR17;Rotterdam-Rijnmond;2020-07-20;0;0;4
VR17;Rotterdam-Rijnmond;2020-07-21;0;0;4
VR17;Rotterdam-Rijnmond;2020-07-22;0;0;4
VR17;Rotterdam-Rijnmond;2020-07-23;0;1;3
VR17;Rotterdam-Rijnmond;2020-07-24;0;0;3
VR17;Rotterdam-Rijnmond;2020-07-25;0;0;3
VR17;Rotterdam-Rijnmond;2020-07-26;0;0;3
VR17;Rotterdam-Rijnmond;2020-07-27;0;0;3
VR17;Rotterdam-Rijnmond;2020-07-28;0;1;2
VR17;Rotterdam-Rijnmond;2020-07-29;0;0;2
VR17;Rotterdam-Rijnmond;2020-07-30;0;0;2
VR17;Rotterdam-Rijnmond;2020-07-31;0;0;2
VR17;Rotterdam-Rijnmond;2020-08-01;0;0;2
VR17;Rotterdam-Rijnmond;2020-08-02;0;0;2
VR17;Rotterdam-Rijnmond;2020-08-03;0;0;2
VR17;Rotterdam-Rijnmond;2020-08-04;0;0;2
VR17;Rotterdam-Rijnmond;2020-08-05;1;0;3
VR17;Rotterdam-Rijnmond;2020-08-06;0;0;3
VR17;Rotterdam-Rijnmond;2020-08-07;0;0;3
VR17;Rotterdam-Rijnmond;2020-08-08;0;0;3
VR17;Rotterdam-Rijnmond;2020-08-09;0;1;2
VR17;Rotterdam-Rijnmond;2020-08-10;0;0;2
VR17;Rotterdam-Rijnmond;2020-08-11;3;0;5
VR17;Rotterdam-Rijnmond;2020-08-12;2;0;7
VR17;Rotterdam-Rijnmond;2020-08-13;0;0;7
VR17;Rotterdam-Rijnmond;2020-08-14;0;0;7
VR17;Rotterdam-Rijnmond;2020-08-15;0;0;7
VR17;Rotterdam-Rijnmond;2020-08-16;0;0;7
VR17;Rotterdam-Rijnmond;2020-08-17;0;0;7
VR17;Rotterdam-Rijnmond;2020-08-18;2;0;9
VR17;Rotterdam-Rijnmond;2020-08-19;0;0;9
VR17;Rotterdam-Rijnmond;2020-08-20;0;0;9
VR17;Rotterdam-Rijnmond;2020-08-21;1;0;10
VR17;Rotterdam-Rijnmond;2020-08-22;0;0;10
VR17;Rotterdam-Rijnmond;2020-08-23;0;0;10
VR17;Rotterdam-Rijnmond;2020-08-24;0;0;10
VR17;Rotterdam-Rijnmond;2020-08-25;0;0;10
VR17;Rotterdam-Rijnmond;2020-08-26;0;0;10
VR17;Rotterdam-Rijnmond;2020-08-27;0;1;9
VR17;Rotterdam-Rijnmond;2020-08-28;0;0;9
VR17;Rotterdam-Rijnmond;2020-08-29;0;0;9
VR17;Rotterdam-Rijnmond;2020-08-30;0;1;8
VR17;Rotterdam-Rijnmond;2020-08-31;1;0;9
VR17;Rotterdam-Rijnmond;2020-09-01;0;0;9
VR17;Rotterdam-Rijnmond;2020-09-02;0;0;9
VR17;Rotterdam-Rijnmond;2020-09-03;0;1;8
VR17;Rotterdam-Rijnmond;2020-09-04;0;0;8
VR17;Rotterdam-Rijnmond;2020-09-05;0;0;8
VR17;Rotterdam-Rijnmond;2020-09-06;0;0;8
VR17;Rotterdam-Rijnmond;2020-09-07;0;0;8
VR17;Rotterdam-Rijnmond;2020-09-08;0;0;8
VR17;Rotterdam-Rijnmond;2020-09-09;0;0;8
VR17;Rotterdam-Rijnmond;2020-09-10;0;0;8
VR17;Rotterdam-Rijnmond;2020-09-11;1;1;8
VR17;Rotterdam-Rijnmond;2020-09-12;1;1;8
VR17;Rotterdam-Rijnmond;2020-09-13;0;0;8
VR17;Rotterdam-Rijnmond;2020-09-14;1;2;7
VR17;Rotterdam-Rijnmond;2020-09-15;0;0;7
VR17;Rotterdam-Rijnmond;2020-09-16;2;1;8
VR17;Rotterdam-Rijnmond;2020-09-17;2;0;10
VR17;Rotterdam-Rijnmond;2020-09-18;3;0;13
VR17;Rotterdam-Rijnmond;2020-09-19;0;0;13
VR17;Rotterdam-Rijnmond;2020-09-20;2;0;15
VR17;Rotterdam-Rijnmond;2020-09-21;1;0;16
VR17;Rotterdam-Rijnmond;2020-09-22;2;0;18
VR17;Rotterdam-Rijnmond;2020-09-23;0;0;18
VR17;Rotterdam-Rijnmond;2020-09-24;0;1;17
VR17;Rotterdam-Rijnmond;2020-09-25;0;0;17
VR17;Rotterdam-Rijnmond;2020-09-26;0;0;17
VR17;Rotterdam-Rijnmond;2020-09-27;1;1;17
VR17;Rotterdam-Rijnmond;2020-09-28;0;0;17
VR17;Rotterdam-Rijnmond;2020-09-29;2;0;19
VR17;Rotterdam-Rijnmond;2020-09-30;0;0;19
VR17;Rotterdam-Rijnmond;2020-10-01;0;0;19
VR17;Rotterdam-Rijnmond;2020-10-02;1;0;20
VR17;Rotterdam-Rijnmond;2020-10-03;1;0;21
VR17;Rotterdam-Rijnmond;2020-10-04;1;0;22
VR17;Rotterdam-Rijnmond;2020-10-05;3;0;25
VR17;Rotterdam-Rijnmond;2020-10-06;3;0;28
VR17;Rotterdam-Rijnmond;2020-10-07;3;0;31
VR17;Rotterdam-Rijnmond;2020-10-08;1;0;32
VR17;Rotterdam-Rijnmond;2020-10-09;4;0;36
VR17;Rotterdam-Rijnmond;2020-10-10;1;0;37
VR17;Rotterdam-Rijnmond;2020-10-11;1;1;37
VR17;Rotterdam-Rijnmond;2020-10-12;2;2;37
VR17;Rotterdam-Rijnmond;2020-10-13;1;0;38
VR17;Rotterdam-Rijnmond;2020-10-14;3;2;39
VR18;Zuid-Holland-Zuid;2020-02-28;0;0;0
VR18;Zuid-Holland-Zuid;2020-02-29;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-01;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-02;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-03;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-04;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-05;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-06;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-07;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-08;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-09;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-10;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-11;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-12;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-13;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-14;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-15;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-16;0;0;0
VR18;Zuid-Holland-Zuid;2020-03-17;1;0;1
VR18;Zuid-Holland-Zuid;2020-03-18;0;0;1
VR18;Zuid-Holland-Zuid;2020-03-19;0;0;1
VR18;Zuid-Holland-Zuid;2020-03-20;0;0;1
VR18;Zuid-Holland-Zuid;2020-03-21;0;0;1
VR18;Zuid-Holland-Zuid;2020-03-22;1;0;2
VR18;Zuid-Holland-Zuid;2020-03-23;1;0;3
VR18;Zuid-Holland-Zuid;2020-03-24;0;0;3
VR18;Zuid-Holland-Zuid;2020-03-25;1;0;4
VR18;Zuid-Holland-Zuid;2020-03-26;2;0;6
VR18;Zuid-Holland-Zuid;2020-03-27;0;0;6
VR18;Zuid-Holland-Zuid;2020-03-28;0;0;6
VR18;Zuid-Holland-Zuid;2020-03-29;1;0;7
VR18;Zuid-Holland-Zuid;2020-03-30;0;0;7
VR18;Zuid-Holland-Zuid;2020-03-31;2;0;9
VR18;Zuid-Holland-Zuid;2020-04-01;3;0;12
VR18;Zuid-Holland-Zuid;2020-04-02;2;0;14
VR18;Zuid-Holland-Zuid;2020-04-03;0;0;14
VR18;Zuid-Holland-Zuid;2020-04-04;0;1;13
VR18;Zuid-Holland-Zuid;2020-04-05;0;0;13
VR18;Zuid-Holland-Zuid;2020-04-06;1;0;14
VR18;Zuid-Holland-Zuid;2020-04-07;1;0;15
VR18;Zuid-Holland-Zuid;2020-04-08;1;0;16
VR18;Zuid-Holland-Zuid;2020-04-09;1;0;17
VR18;Zuid-Holland-Zuid;2020-04-10;2;0;19
VR18;Zuid-Holland-Zuid;2020-04-11;0;0;19
VR18;Zuid-Holland-Zuid;2020-04-12;0;1;18
VR18;Zuid-Holland-Zuid;2020-04-13;0;0;18
VR18;Zuid-Holland-Zuid;2020-04-14;2;0;20
VR18;Zuid-Holland-Zuid;2020-04-15;1;0;21
VR18;Zuid-Holland-Zuid;2020-04-16;1;0;22
VR18;Zuid-Holland-Zuid;2020-04-17;1;0;23
VR18;Zuid-Holland-Zuid;2020-04-18;0;1;22
VR18;Zuid-Holland-Zuid;2020-04-19;0;0;22
VR18;Zuid-Holland-Zuid;2020-04-20;0;0;22
VR18;Zuid-Holland-Zuid;2020-04-21;1;0;23
VR18;Zuid-Holland-Zuid;2020-04-22;0;0;23
VR18;Zuid-Holland-Zuid;2020-04-23;0;0;23
VR18;Zuid-Holland-Zuid;2020-04-24;0;0;23
VR18;Zuid-Holland-Zuid;2020-04-25;0;0;23
VR18;Zuid-Holland-Zuid;2020-04-26;0;0;23
VR18;Zuid-Holland-Zuid;2020-04-27;0;0;23
VR18;Zuid-Holland-Zuid;2020-04-28;0;2;21
VR18;Zuid-Holland-Zuid;2020-04-29;0;0;21
VR18;Zuid-Holland-Zuid;2020-04-30;0;0;21
VR18;Zuid-Holland-Zuid;2020-05-01;1;1;21
VR18;Zuid-Holland-Zuid;2020-05-02;0;1;20
VR18;Zuid-Holland-Zuid;2020-05-03;1;1;20
VR18;Zuid-Holland-Zuid;2020-05-04;1;0;21
VR18;Zuid-Holland-Zuid;2020-05-05;0;0;21
VR18;Zuid-Holland-Zuid;2020-05-06;0;0;21
VR18;Zuid-Holland-Zuid;2020-05-07;0;1;20
VR18;Zuid-Holland-Zuid;2020-05-08;0;1;19
VR18;Zuid-Holland-Zuid;2020-05-09;0;3;16
VR18;Zuid-Holland-Zuid;2020-05-10;0;1;15
VR18;Zuid-Holland-Zuid;2020-05-11;0;1;14
VR18;Zuid-Holland-Zuid;2020-05-12;0;0;14
VR18;Zuid-Holland-Zuid;2020-05-13;1;0;15
VR18;Zuid-Holland-Zuid;2020-05-14;0;0;15
VR18;Zuid-Holland-Zuid;2020-05-15;0;1;14
VR18;Zuid-Holland-Zuid;2020-05-16;0;2;12
VR18;Zuid-Holland-Zuid;2020-05-17;0;3;9
VR18;Zuid-Holland-Zuid;2020-05-18;0;0;9
VR18;Zuid-Holland-Zuid;2020-05-19;0;0;9
VR18;Zuid-Holland-Zuid;2020-05-20;0;0;9
VR18;Zuid-Holland-Zuid;2020-05-21;0;0;9
VR18;Zuid-Holland-Zuid;2020-05-22;0;0;9
VR18;Zuid-Holland-Zuid;2020-05-23;0;0;9
VR18;Zuid-Holland-Zuid;2020-05-24;0;0;9
VR18;Zuid-Holland-Zuid;2020-05-25;0;0;9
VR18;Zuid-Holland-Zuid;2020-05-26;0;0;9
VR18;Zuid-Holland-Zuid;2020-05-27;1;0;10
VR18;Zuid-Holland-Zuid;2020-05-28;0;0;10
VR18;Zuid-Holland-Zuid;2020-05-29;0;1;9
VR18;Zuid-Holland-Zuid;2020-05-30;0;0;9
VR18;Zuid-Holland-Zuid;2020-05-31;1;0;10
VR18;Zuid-Holland-Zuid;2020-06-01;0;0;10
VR18;Zuid-Holland-Zuid;2020-06-02;0;0;10
VR18;Zuid-Holland-Zuid;2020-06-03;1;0;11
VR18;Zuid-Holland-Zuid;2020-06-04;1;0;12
VR18;Zuid-Holland-Zuid;2020-06-05;0;0;12
VR18;Zuid-Holland-Zuid;2020-06-06;0;0;12
VR18;Zuid-Holland-Zuid;2020-06-07;0;2;10
VR18;Zuid-Holland-Zuid;2020-06-08;0;0;10
VR18;Zuid-Holland-Zuid;2020-06-09;0;1;9
VR18;Zuid-Holland-Zuid;2020-06-10;0;0;9
VR18;Zuid-Holland-Zuid;2020-06-11;0;1;8
VR18;Zuid-Holland-Zuid;2020-06-12;0;0;8
VR18;Zuid-Holland-Zuid;2020-06-13;0;1;7
VR18;Zuid-Holland-Zuid;2020-06-14;0;0;7
VR18;Zuid-Holland-Zuid;2020-06-15;0;0;7
VR18;Zuid-Holland-Zuid;2020-06-16;0;0;7
VR18;Zuid-Holland-Zuid;2020-06-17;0;0;7
VR18;Zuid-Holland-Zuid;2020-06-18;0;1;6
VR18;Zuid-Holland-Zuid;2020-06-19;0;0;6
VR18;Zuid-Holland-Zuid;2020-06-20;0;1;5
VR18;Zuid-Holland-Zuid;2020-06-21;0;1;4
VR18;Zuid-Holland-Zuid;2020-06-22;0;0;4
VR18;Zuid-Holland-Zuid;2020-06-23;0;1;3
VR18;Zuid-Holland-Zuid;2020-06-24;0;0;3
VR18;Zuid-Holland-Zuid;2020-06-25;0;0;3
VR18;Zuid-Holland-Zuid;2020-06-26;0;0;3
VR18;Zuid-Holland-Zuid;2020-06-27;0;1;2
VR18;Zuid-Holland-Zuid;2020-06-28;0;0;2
VR18;Zuid-Holland-Zuid;2020-06-29;0;0;2
VR18;Zuid-Holland-Zuid;2020-06-30;0;1;1
VR18;Zuid-Holland-Zuid;2020-07-01;0;0;1
VR18;Zuid-Holland-Zuid;2020-07-02;0;0;1
VR18;Zuid-Holland-Zuid;2020-07-03;0;0;1
VR18;Zuid-Holland-Zuid;2020-07-04;0;0;1
VR18;Zuid-Holland-Zuid;2020-07-05;0;0;1
VR18;Zuid-Holland-Zuid;2020-07-06;0;1;0
VR18;Zuid-Holland-Zuid;2020-07-07;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-08;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-09;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-10;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-11;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-12;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-13;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-14;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-15;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-16;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-17;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-18;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-19;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-20;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-21;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-22;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-23;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-24;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-25;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-26;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-27;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-28;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-29;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-30;0;0;0
VR18;Zuid-Holland-Zuid;2020-07-31;0;0;0
VR18;Zuid-Holland-Zuid;2020-08-01;0;0;0
VR18;Zuid-Holland-Zuid;2020-08-02;0;0;0
VR18;Zuid-Holland-Zuid;2020-08-03;0;0;0
VR18;Zuid-Holland-Zuid;2020-08-04;0;0;0
VR18;Zuid-Holland-Zuid;2020-08-05;0;0;0
VR18;Zuid-Holland-Zuid;2020-08-06;2;0;2
VR18;Zuid-Holland-Zuid;2020-08-07;0;0;2
VR18;Zuid-Holland-Zuid;2020-08-08;0;0;2
VR18;Zuid-Holland-Zuid;2020-08-09;0;0;2
VR18;Zuid-Holland-Zuid;2020-08-10;0;0;2
VR18;Zuid-Holland-Zuid;2020-08-11;0;0;2
VR18;Zuid-Holland-Zuid;2020-08-12;1;0;3
VR18;Zuid-Holland-Zuid;2020-08-13;0;0;3
VR18;Zuid-Holland-Zuid;2020-08-14;0;0;3
VR18;Zuid-Holland-Zuid;2020-08-15;0;0;3
VR18;Zuid-Holland-Zuid;2020-08-16;0;0;3
VR18;Zuid-Holland-Zuid;2020-08-17;0;0;3
VR18;Zuid-Holland-Zuid;2020-08-18;0;0;3
VR18;Zuid-Holland-Zuid;2020-08-19;1;0;4
VR18;Zuid-Holland-Zuid;2020-08-20;0;0;4
VR18;Zuid-Holland-Zuid;2020-08-21;0;0;4
VR18;Zuid-Holland-Zuid;2020-08-22;0;0;4
VR18;Zuid-Holland-Zuid;2020-08-23;0;0;4
VR18;Zuid-Holland-Zuid;2020-08-24;0;0;4
VR18;Zuid-Holland-Zuid;2020-08-25;0;0;4
VR18;Zuid-Holland-Zuid;2020-08-26;0;0;4
VR18;Zuid-Holland-Zuid;2020-08-27;0;0;4
VR18;Zuid-Holland-Zuid;2020-08-28;0;0;4
VR18;Zuid-Holland-Zuid;2020-08-29;0;0;4
VR18;Zuid-Holland-Zuid;2020-08-30;0;0;4
VR18;Zuid-Holland-Zuid;2020-08-31;0;0;4
VR18;Zuid-Holland-Zuid;2020-09-01;0;2;2
VR18;Zuid-Holland-Zuid;2020-09-02;0;0;2
VR18;Zuid-Holland-Zuid;2020-09-03;0;0;2
VR18;Zuid-Holland-Zuid;2020-09-04;1;0;3
